"img1","img2","similarity"
"gazebo20.jpg","gazebo15.jpg",0.75
"gazebo20.jpg","gazebo2.jpg",0
"gazebo20.jpg","gazebo23.jpg",0.5
"gazebo20.jpg","gazebo16.jpg",0.333333333333333
"gazebo20.jpg","gazebo13.jpg",0.5
"gazebo20.jpg","gazebo8.jpg",0.5
"gazebo20.jpg","gazebo0.jpg",0
"gazebo20.jpg","gazebo21.jpg",0.333333333333333
"gazebo20.jpg","gazebo14.jpg",0.2
"gazebo20.jpg","gazebo6.jpg",0
"gazebo20.jpg","gazebo22.jpg",0
"gazebo20.jpg","gazebo1.jpg",1
"gazebo20.jpg","gazebo4.jpg",0.166666666666667
"gazebo20.jpg","gazebo17.jpg",0.5
"gazebo20.jpg","gazebo10.jpg",0.666666666666667
"gazebo20.jpg","gazebo19.jpg",1
"gazebo20.jpg","gazebo18.jpg",0.5
"gazebo20.jpg","gazebo5.jpg",0.75
"gazebo20.jpg","gazebo12.jpg",1
"gazebo20.jpg","gazebo7.jpg",NA
"gazebo20.jpg","gazebo9.jpg",0.25
"gazebo20.jpg","gazebo3.jpg",0.4
"gazebo20.jpg","gazebo11.jpg",0
"gazebo15.jpg","gazebo20.jpg",0.75
"gazebo15.jpg","gazebo2.jpg",1
"gazebo15.jpg","gazebo23.jpg",0.714285714285714
"gazebo15.jpg","gazebo16.jpg",1
"gazebo15.jpg","gazebo13.jpg",0.428571428571429
"gazebo15.jpg","gazebo8.jpg",0.666666666666667
"gazebo15.jpg","gazebo0.jpg",0
"gazebo15.jpg","gazebo21.jpg",0.2
"gazebo15.jpg","gazebo14.jpg",0
"gazebo15.jpg","gazebo6.jpg",0
"gazebo15.jpg","gazebo22.jpg",0.5
"gazebo15.jpg","gazebo1.jpg",0.5
"gazebo15.jpg","gazebo4.jpg",0
"gazebo15.jpg","gazebo17.jpg",1
"gazebo15.jpg","gazebo10.jpg",0.25
"gazebo15.jpg","gazebo19.jpg",0.666666666666667
"gazebo15.jpg","gazebo18.jpg",0.333333333333333
"gazebo15.jpg","gazebo5.jpg",0.5
"gazebo15.jpg","gazebo12.jpg",1
"gazebo15.jpg","gazebo7.jpg",0.5
"gazebo15.jpg","gazebo9.jpg",0.666666666666667
"gazebo15.jpg","gazebo3.jpg",1
"gazebo15.jpg","gazebo11.jpg",0.5
"gazebo2.jpg","gazebo20.jpg",0
"gazebo2.jpg","gazebo15.jpg",1
"gazebo2.jpg","gazebo23.jpg",0
"gazebo2.jpg","gazebo16.jpg",NA
"gazebo2.jpg","gazebo13.jpg",0.5
"gazebo2.jpg","gazebo8.jpg",0
"gazebo2.jpg","gazebo0.jpg",0
"gazebo2.jpg","gazebo21.jpg",1
"gazebo2.jpg","gazebo14.jpg",0.666666666666667
"gazebo2.jpg","gazebo6.jpg",0
"gazebo2.jpg","gazebo22.jpg",0.8
"gazebo2.jpg","gazebo1.jpg",0.5
"gazebo2.jpg","gazebo4.jpg",0
"gazebo2.jpg","gazebo17.jpg",0.222222222222222
"gazebo2.jpg","gazebo10.jpg",1
"gazebo2.jpg","gazebo19.jpg",0
"gazebo2.jpg","gazebo18.jpg",0
"gazebo2.jpg","gazebo5.jpg",0.6
"gazebo2.jpg","gazebo12.jpg",0
"gazebo2.jpg","gazebo7.jpg",0.25
"gazebo2.jpg","gazebo9.jpg",0
"gazebo2.jpg","gazebo3.jpg",0
"gazebo2.jpg","gazebo11.jpg",0.333333333333333
"gazebo23.jpg","gazebo20.jpg",0.5
"gazebo23.jpg","gazebo15.jpg",0.714285714285714
"gazebo23.jpg","gazebo2.jpg",0
"gazebo23.jpg","gazebo16.jpg",0
"gazebo23.jpg","gazebo13.jpg",0.2
"gazebo23.jpg","gazebo8.jpg",0.666666666666667
"gazebo23.jpg","gazebo0.jpg",0.25
"gazebo23.jpg","gazebo21.jpg",0
"gazebo23.jpg","gazebo14.jpg",0.333333333333333
"gazebo23.jpg","gazebo6.jpg",1
"gazebo23.jpg","gazebo22.jpg",0
"gazebo23.jpg","gazebo1.jpg",0.25
"gazebo23.jpg","gazebo4.jpg",0.6
"gazebo23.jpg","gazebo17.jpg",0.4
"gazebo23.jpg","gazebo10.jpg",0
"gazebo23.jpg","gazebo19.jpg",0.4
"gazebo23.jpg","gazebo18.jpg",0
"gazebo23.jpg","gazebo5.jpg",0.666666666666667
"gazebo23.jpg","gazebo12.jpg",0.833333333333333
"gazebo23.jpg","gazebo7.jpg",NA
"gazebo23.jpg","gazebo9.jpg",0
