"img1","img2","similarity"
"beach8.jpg","beach10.jpg",1
"beach4.jpg","beach3.jpg",0
"beach4.jpg","beach2.jpg",0.333333333333333
"beach4.jpg","beach13.jpg",0.5
"beach4.jpg","beach20.jpg",NA
"beach4.jpg","beach5.jpg",0.5
"beach4.jpg","beach7.jpg",NA
"beach4.jpg","beach8.jpg",0
"beach4.jpg","beach11.jpg",1
"beach4.jpg","beach6.jpg",0.5
"beach4.jpg","beach9.jpg",NA
"beach4.jpg","beach18.jpg",0
"beach4.jpg","beach19.jpg",1
"beach4.jpg","beach17.jpg",0
"beach4.jpg","beach15.jpg",0
"beach4.jpg","beach22.jpg",1
"beach4.jpg","beach12.jpg",1
"beach4.jpg","beach1.jpg",0
"beach4.jpg","beach0.jpg",1
"beach4.jpg","beach14.jpg",0
"beach4.jpg","beach21.jpg",0.666666666666667
"beach4.jpg","beach23.jpg",0.25
"beach4.jpg","beach16.jpg",1
"beach4.jpg","beach10.jpg",0
"beach11.jpg","beach3.jpg",0.25
"beach11.jpg","beach2.jpg",0
"beach11.jpg","beach13.jpg",NA
"beach11.jpg","beach20.jpg",0
"beach11.jpg","beach5.jpg",1
"beach11.jpg","beach7.jpg",0
"beach11.jpg","beach8.jpg",0
"beach11.jpg","beach4.jpg",1
"beach11.jpg","beach6.jpg",NA
"beach11.jpg","beach9.jpg",0.25
"beach11.jpg","beach18.jpg",0
"beach11.jpg","beach19.jpg",0
"beach11.jpg","beach17.jpg",0
"beach11.jpg","beach15.jpg",0.5
"beach11.jpg","beach22.jpg",0.666666666666667
"beach11.jpg","beach12.jpg",0
"beach11.jpg","beach1.jpg",1
"beach11.jpg","beach0.jpg",0.333333333333333
"beach11.jpg","beach14.jpg",0.5
"beach11.jpg","beach21.jpg",0.6
"beach11.jpg","beach23.jpg",1
"beach11.jpg","beach16.jpg",0.5
"beach11.jpg","beach10.jpg",0.5
"beach6.jpg","beach3.jpg",0
"beach6.jpg","beach2.jpg",0
"beach6.jpg","beach13.jpg",1
"beach6.jpg","beach20.jpg",1
"beach6.jpg","beach5.jpg",NA
"beach6.jpg","beach7.jpg",0.5
"beach6.jpg","beach8.jpg",0.25
"beach6.jpg","beach4.jpg",0.5
"beach6.jpg","beach11.jpg",NA
"beach6.jpg","beach9.jpg",0.25
"beach6.jpg","beach18.jpg",1
"beach6.jpg","beach19.jpg",0.75
"beach6.jpg","beach17.jpg",0
"beach6.jpg","beach15.jpg",0
"beach6.jpg","beach22.jpg",0.666666666666667
"beach6.jpg","beach12.jpg",0.333333333333333
"beach6.jpg","beach1.jpg",0.333333333333333
"beach6.jpg","beach0.jpg",1
"beach6.jpg","beach14.jpg",0
"beach6.jpg","beach21.jpg",0
"beach6.jpg","beach23.jpg",0
"beach6.jpg","beach16.jpg",0.333333333333333
"beach6.jpg","beach10.jpg",0
"beach9.jpg","beach3.jpg",1
"beach9.jpg","beach2.jpg",0
"beach9.jpg","beach13.jpg",0
"beach9.jpg","beach20.jpg",0
"beach9.jpg","beach5.jpg",1
"beach9.jpg","beach7.jpg",1
"beach9.jpg","beach8.jpg",0.5
"beach9.jpg","beach4.jpg",NA
"beach9.jpg","beach11.jpg",0.25
"beach9.jpg","beach6.jpg",0.25
"beach9.jpg","beach18.jpg",0
"beach9.jpg","beach19.jpg",0
"beach9.jpg","beach17.jpg",1
"beach9.jpg","beach15.jpg",0.166666666666667
